id,nome_en,nome_jp,nome_cn,no_dt200,no_dt870
8,Alexandre Gama,アレシャンドレ ガマ,亚历山大·伽马,true,true
26,Gennaro Gattuso,ジェンナーロ ガットゥーゾ,詹纳罗·加图索,false,true
79,Pablo Machín,パブロ マチン,巴勃罗·马钦,false,true
89,Kasper Hjulmand,カスパ ユールマン,卡斯珀·尤尔曼德,true,true
113,Marco Baroni,マルコ バローニ,马尔科·巴罗尼,false,true
127,Besnik Hasi,ベスニク ハシ,贝斯尼克·哈西,false,true
135,Niko Kovač,ニコ コヴァッチ,尼科·科瓦奇,true,true
273,Martin O'Neill,マーティン オニール,马丁·奥尼尔,true,true
279,Marco Silva,マルコ シルヴァ,马尔科·席尔瓦,false,true
309,Petit,プティ,佩蒂特,true,true
350,Ronald Koeman,ロナルド クーマン,罗纳德·库曼,false,true
352,Michael Skibbe,ミヒャエル スキッベ,米夏埃尔·斯基伯,true,true
436,Maurizio Sarri,マウリツィオ サッリ,毛里齐奥·萨里,true,true
437,M. Allegri,マッシミリアーノ アッレグリ,马西米利亚诺·阿莱格里,true,true
478,M. Gallardo,マルセロ ガジャルド,马塞洛·加拉多,false,true
485,R. D'Aversa,ロベルト ダヴェルサ,罗伯托·达韦尔萨,true,true
503,R. Arruabarrena,ロドルフォ アルアバレナ,鲁道夫·阿鲁亚巴雷纳,false,true
1206,Nakor Scattini,ナコル スカチーニ,纳克尔·斯卡蒂尼,false,true
1207,Txomin Cabezon,ショミン デ カベソン,肖明·德卡维松,false,true
1212,Lluis Watling,ルイス ワトリング,路易斯·沃特林,false,true
1213,Jose A. de Blas,ホセ アンヘル デ ブラス,何塞-安赫尔·德布拉斯,false,true
1216,Josip Banić,ヨシプ バニッチ,约瑟普·巴尼奇,false,true
1223,Gustav Šimánek,グスタフ シマーネク,古斯塔夫·希马内克,false,true
1228,Rodolfo Nuñez,ロドルフォ ヌニェス,鲁道夫·努涅斯,false,true
1236,Elbert Chaucer,エルバート チョーサー,埃尔伯特·乔瑟,false,true
1237,Barnabas Wabeck,バーナバス ウォーベック,巴纳巴斯·瓦贝克,false,true
1241,Geoff Harper,ジェフ ハーパー,杰夫·哈珀,false,true
1243,Ahab Mirren,エイハブ ミレン,埃哈布·米伦,false,true
1245,Clemmie Root,クレミー ルート,克莱米·鲁特,false,true
1246,Llyr Blackmore,リル ブラックモア,利尔·布莱克莫尔,false,true
1249,Gus Rushby,ガス ラシュビー,格斯·拉什比,false,true
1255,Egide Tarde,エジット タルード,埃吉德·塔尔德,false,true
1256,Thony Meurisse,トニー ムリス,托尼·默里斯,true,true
1259,Steve Courcel,スティーブ クールセル,史蒂夫·库塞尔,false,true
1264,S. Delagrange,サンディ ドラグランジュ,桑迪·德拉格朗热,false,true
100180,Ranko Popović,ランコ ポポヴィッチ,兰科·波波维奇,false,true
100192,Eduardo Coudet,エドゥアルド クデ,爱德华多·库德特,true,true
100195,Fabio Cannavaro,ファビオ カンナヴァーロ,法比奥·坎纳瓦罗,false,true
100197,Gabriel Milito,ガブリエル ミリート,加布里埃尔·米利托,true,true
100237,José Mourinho,ジョゼ モウリーニョ,何塞·穆里尼奥,true,true
100249,M. Petrović,ミハイロ ペトロヴィッチ,米哈伊洛·彼得罗维奇,true,true
100327,Cristiano Bacci,クリスティアーノ バッチ,克里斯蒂亚诺·巴奇,true,true
100528,R. Rodríguez,リカルド ロドリゲス,里卡多·罗德里格斯,true,true
100656,M. van der Gaag,ミチェル ファン デル ハーフ,米切尔·范德哈赫,false,true
100693,C. Carvalhal,カルロス カルヴァリャル,卡洛斯·卡瓦利亚尔,false,true
100751,Jürgen Klopp,ユルゲン クロップ,尤尔根·克洛普,false,true
