secao,secao_idx,id_texto,texto
Am1T,1,120,Ação
Am1T,1,141,Jogadores disponíveis
Am1T,1,145,%d％
Am1T,1,325,Contrate jogadores (Total)
Am1T,1,694,Vincule sua KONAMI ID
Am1T,1,846,Vincular dados
Am1W,2,205,Bloqueie a trajetória para interceptar.
Am1W,2,227,Deslize rapidamente ao driblar.
Am1W,2,228,Deslize rapidamente o lado esquerdo ao driblar.
Am1W,2,229,"Toque no lado esquerdo e, imediatamente, no direito e deslize."
Am1W,2,230,Toque no lado direito e depois deslize.
Am1W,2,231,Toque 2x na esquerda depois do chute.
Amg1T,3,32,Tutorial de comandos
Amg1T,3,37,Lista de tutoriais
Amg1T,3,42,Tutorial em vídeo
Amg1T,3,44,Passe
Amg1T,3,45,Lançam.
Amg1T,3,48,Alterar
Amg1T,3,49,Pressão
Amg1T,3,61,Ataque
Amg1T,3,62,Defesa
Amg1W,4,0,Iniciar %s.
Amg1W,4,1,Aguardando outros usuários %d.
Amg1W,4,2,Dummy
Amg1W,4,3,Controle automático flexível
Amg1W,4,4,Inclui a IA
Amg1W,4,5,Você
Amg1W,4,6,Div. 4
Amg1W,4,7,Div. 3
Amg1W,4,8,Div. 2
Amg1W,4,9,Div. 1
Amg1W,4,10,Uso de comandos de passe (últ. 10 partidas)
Amg1W,4,11,%s％
Amg1W,4,12,Uso de comandos de drible (últ. 10 partidas)
Amg1W,4,13,Drible preciso
Amg1W,4,14,Automático
Amg1W,4,15,Uso de comandos defensivos (últ. 10 partidas)
Amg1W,4,16,Adversário
Amg1W,4,17,Tipo de gol
Amg1W,4,18,Taxa de tipo de gol nas últimas 10 partidas
Amg1W,4,19,Recuperação
Amg1W,4,20,Uso de comandos de chute (últ. 10 partidas)
Amg1W,4,21,Controles das últimas 10 partidas em média
Amg1W,4,22,Recursos
Amg1W,4,23,Taxa de uso de recursos de eFootball™
Amg1W,4,24,Boas-vindas à Análise
Amg1W,4,25,Análise dos Dados das Partidas
Amg1W,4,26,Veja os dados das últimas 10 partidas PvP.
Amg1W,4,27,Comparar dados com outro usuário
Amg1W,4,28,Selecione um usuário (o usuário de Liga eFootball™ mais bem colocado etc.) e compare os dados dele com os seus.
Amg1W,4,29,Comparar Análise
Amg1W,4,30,Neutro
Amg1W,4,31,"Para configurar, acesse [Plano de jogo] > [Táticas] > [Instruções individuais]."
Amg1W,4,32,Dados da partida
Amg1W,4,33,Desbloqueado em %s
Amg1W,4,34,Jogue uma partida e obtenha um Elo do Tesouro
Amg1W,4,35,Desbloqueado em %s.
Amg1W,4,36,É possível substituir um Elo do Tesouro bloqueado.
Amg1W,4,37,Conclua o Elo do Tesouro anterior para desbloquear
Amg1W,4,38,Conclua o Objetivo em linha anterior para desbloquear
Amg1W,4,39,Substituir?
Amg1W,4,40,Você substituirá um Elo do Tesouro desbloqueado.
Amg1W,4,41,Selecione o Elo do Tesouro a ser substituído
Amg1W,4,42,Use a Prévia para comparar o Elo do Tesouro.
Amg1W,4,43,Elo do Tesouro substituído
Amg1W,4,44,Agora pegue outro Elo do Tesouro.
Amg1W,4,45,Elo %d não resgatado
Amg1W,4,46,Taxa de uso de recursos
Amg1W,4,47,Aguarde o início da campanha
Amg1W,4,48,Veja como você usou os vários recursos de eFootball™.
Amg1W,4,49,Conclua o Elo do Tesouro anterior para desbloquear.
Amg1W,4,50,Metas bônus
Amg1W,4,51,Ganhe pontos com base no número de metas cumpridas
Amg1W,4,52,Ganhe pontos se a meta for cumprida
Amg1W,4,53,+%s × metas
Amg1W,4,54,"As Metas bônus utilizadas durante uma partida são escolhidas aleatoriamente da lista a seguir, com 3 diferentes metas selecionadas por partida.
Tipos mais raros de Metas bônus também podem ser usados. São metas especiais que conferem mais Pontos do evento do que o normal."
Amg1W,4,55,Desclassificar particip. além do Organizador
Amg1W,4,56,"*Somente é possível obter Pontos do evento em partidas concluídas normalmente. Se um usuário abandonar a partida ou perder por desconexão, não serão conferidos pontos."
Amg1W,4,57,Desclassificar usuários selecionados?
Amg1W,4,58,Desclassifique os integrantes da partida além do Organizador. Desclassificações são tratadas como derrotas.
Amg1W,4,59,Restam %d pacotes
Amg1W,4,60,Mostra conselhos da partida atual.
Amg1W,4,61,Todos abertos
Amg1W,4,62,Conferir Pacote
Amg1W,4,63,Abrir %s
Amg1W,4,64,Usar 1 ponto.
Amg1W,4,65,Selecione kj para abrir
Amg1W,4,66,Pacotes restantes: %d/%d
Amg1W,4,67,Não é possível abrir
Amg1W,4,68,Pontos insuficientes.
Amg1W,4,69,"Para vincular a KONAMI ID, acesse [Extras] > [Suporte] > [Vincular dados] > [Vincular KONAMI ID]."
Amg1W,4,70,Limite maior a cada semana
Amg1W,4,71,Jogo automático
Amg1W,4,72,"Define os requisitos de participação em partidas. Escolha restrições com base em Categoria, Clubes ou Nacional./Região."
Amg1W,4,73,"Quando as Restrições de Time são definidas como ""Categoria"", elas se aplicam a esta Categoria."
Amg1W,4,74,"Defina o número de jogadores que precisam atender a condições específicas e ser adicionados ao plano de jogo, caso restrições sejam aplicadas."
Amg1W,4,75,Defina uma restrição para Força básica.
Amg1W,4,76,Selecione como a restrição de Força básica será aplicada.
Amg1W,4,77,Selecione o valor a partir do qual a restrição de Força básica será aplicada.
Amg1W,4,78,Sair desta partida?
Amg1W,4,79,"Se um usuário parar de assistir e sair de uma partida, não pode retornar para assisti-la de novo."
Amg1W,4,80,Impossível Desclassificação
Amg1W,4,81,Um usuário já foi desclassificado.
Amg1W,4,82,Não é possível desclassificar um usuário após uma partida.
Amg1W,4,83,Esse usuário já foi desclassificado.
Amg1W,4,85,"Ao ativar Controle automático, a IA controlará a jogada caso você não esteja controlando um jogador."
Amg1W,4,86,Desative os controles para que os comandos executados não se apliquem enquanto Controle automático estiver em uso.
Amg1W,4,87,O usuário selecionado não foi encontrado. Ele pode ter abandonado o torneio.
Amg1W,4,88,Não é possível desclassificar um usuário se uma partida antecede o início de uma rodada.
