codigo_jogo,fonte_preferida,registro_preferido,tipo_efeito_fisico,nivel_fisico,presente_dt200,presente_dt870_original,presente_dt870_atualizacao,dicionario_existente,condicional_dicionario,condicao_estado,nome_dicionario,record_sha256,receita_fisica_disponivel
0,dt870_original,160,,,false,true,false,false,,nao_avaliada,,21b4582ba7bfac0bc7fc65d9a3ad8b4400da785f007b5cdb450ff5a57ebf3065,false
1,dt870_atualizacao,0,0,1,true,true,true,false,,nao_avaliada,,e25030d5beb44f3ba96e1a85f64925e45f99da4cb1f39740331cf013897fa66a,true
2,dt870_atualizacao,1,0,1,true,false,true,false,,nao_avaliada,,19cf1bdfef646a4735f92cfbb1529ce610486b1dd9254d1f9e8a5c0ca96b0d94,true
3,dt870_atualizacao,2,0,1,true,false,true,false,,nao_avaliada,,8897dd4c711ba5214daebb44c534e31c737d91b99830e779d77032986be05fe7,true
4,dt870_atualizacao,3,0,1,true,true,true,false,,nao_avaliada,,051de10a88f35ab33ce19dfce06c633c962416cbc6f393793f246fd9568cff9e,true
5,dt870_atualizacao,4,0,1,true,false,true,false,,nao_avaliada,,742d9acb10f3fae35ec28d897a4c63d897ab5f8223ca9e396c5dba842a4e1922,true
6,dt870_atualizacao,5,0,1,true,false,true,false,,nao_avaliada,,8245c160758f20b00b33f72c48408229aab67ab8b1eee9ef066b3b94832136d3,true
7,dt870_atualizacao,6,0,1,true,false,true,false,,nao_avaliada,,8b1c3cd447609a034e66e139a76f86c33920d5e2a1fec4e5826246cb22e9b87f,true
8,dt870_atualizacao,7,0,1,true,true,true,true,false,ausente_comprovada,Duelo (Divididas),bbb39324db68dff5f6b486ac2665ab7533404dc7e9b4130061c036a351e30bdf,true
9,dt870_atualizacao,8,0,1,true,true,true,true,false,ausente_comprovada,Agilidade,b3475fc041f0e450940461644625ebf5a069645cda091d247c54513d4efa80ba,true
10,dt870_atualizacao,9,0,1,true,true,true,false,,nao_avaliada,,b17d3fe41cc92ed66f1c246c2ee728038c7397eefdf05eccc96b7f2b1cabf6bc,true
11,dt870_atualizacao,10,0,1,true,false,true,false,,nao_avaliada,,c1a360068020aef9d3cd6650db9bbde5da90f8cfc7ff2c27f85ac094c5ddbd16,true
12,dt870_atualizacao,11,0,2,true,true,true,true,false,ausente_comprovada,Chute,1e2aa33a9537166c5c2970e14bf00762559b8489f340bab6778bb89e84eed5e3,true
13,dt870_atualizacao,12,0,2,true,false,true,true,false,ausente_comprovada,Cobrança de Falta,0347806643a14177b9291b73eaff2435fc4c540f0b26d774d9b58912ca363605,true
14,dt870_atualizacao,13,0,2,true,true,true,true,false,ausente_comprovada,Disputa Aérea,bfa6702b6a32cc45e51426a65176c4cd40a454c60f1cf9620bbffea30272dc21,true
15,dt870_atualizacao,14,0,2,true,false,true,true,false,ausente_comprovada,Passe,c818395f9bca9fc431048910f445bffec041e66bfba2cdca7066014c6ca18474,true
16,dt870_atualizacao,15,0,2,true,true,true,true,false,ausente_comprovada,Condução Técnica,69f287494beb5b17fd496a9cceb20a8cbfb06423b6a0c2a489f62b47a1336651,true
17,dt870_atualizacao,16,0,2,true,false,true,true,false,ausente_comprovada,Técnica,f21a77cf91a4c72389385b7f6e5f230443a5853ec9d8349d5be212fca2d01d97,true
18,dt870_atualizacao,17,0,2,true,false,true,true,false,ausente_comprovada,Defesa,4b810e24b7d7820d9702eb8a07fe388d8ac2d036391f99a277661e8e543dbd2e,true
19,dt870_atualizacao,18,0,2,true,true,true,true,false,ausente_comprovada,Duelo (Divididas),bf93d757e9c463cfc4ebb9c2c651a1de242618fd58ae2bcfcb479f41f732f03d,true
20,dt870_atualizacao,19,0,2,true,false,true,true,false,ausente_comprovada,Agilidade,d74d251224dc67307afe4bcf1d21b845fb124521c282113ada9692b3287485a3,true
21,dt870_atualizacao,20,0,2,true,false,true,true,false,ausente_comprovada,Vigor Físico,e872dee75fed82a6062d79d51f405210ece42dcf32837847abdcdd25329d7160,true
22,dt870_atualizacao,21,0,2,true,false,true,true,false,ausente_comprovada,Goalkeeping,a056d15a4ed8be6ee23e1d4798420e1b22208e2e974a24b275c6ca8a4d97b498,true
23,dt870_atualizacao,22,0,3,true,false,true,true,false,ausente_comprovada,Chute,e7b883f861b1a1c40e82594c5e7b006742e062c1d7ccdf62d25dab44408e7a58,true
24,dt870_atualizacao,23,0,3,true,true,true,true,false,ausente_comprovada,Cobrança de Falta,991029c712fe22bf578c2eaaad91e82b0cdec8c44b6e90aebb92513934cc4e9e,true
25,dt870_atualizacao,24,0,3,true,false,true,true,false,ausente_comprovada,Disputa Aérea,f0827cc99ddf833d996a14d30538e7d70208a100fec23b2811a4accc88cb8afb,true
26,dt870_atualizacao,25,0,3,true,false,true,true,false,ausente_comprovada,Passe,3abf1d889d6242f9aad0e9828b9652ea02c70936f4fa51d64040ce91ed472b26,true
27,dt870_atualizacao,26,0,3,true,false,true,true,false,ausente_comprovada,Condução Técnica,c8da756d406ad58681a15e5d93d7a327cae94349d28be5f6fa1e055adb2c4261,true
28,dt870_atualizacao,27,0,3,true,false,true,true,false,ausente_comprovada,Técnica,45841ce79bffaa1eb16822584f46a6d240c945e68c863dbdfb2843d996907a31,true
29,dt870_atualizacao,28,0,3,true,true,true,true,false,ausente_comprovada,Defesa,39b9c3cc9e457aac6490c14e9d27beda12bf7de862d932e54f2db4585bb82a5e,true
30,dt870_atualizacao,29,0,3,true,false,true,true,false,ausente_comprovada,Duelo (Divididas),61f0f5e89fc9d080462fa7a05a58f4d9c6f1331a77b757e23dcbbc8b8b752853,true
31,dt870_atualizacao,30,0,3,true,false,true,true,false,ausente_comprovada,Agilidade,9a3bf3d60c556f61145368226e9968fce5b5686ab429b10ef151f6c43208d671,true
32,dt870_atualizacao,31,0,3,true,true,true,true,false,ausente_comprovada,Vigor Físico,3739aeffc53eebc4a52afcc2034fd8d9687f0e34bafaa2960aa95e8fd6d000f4,true
33,dt870_atualizacao,32,0,3,true,true,true,true,false,ausente_comprovada,Goalkeeping,01c4ec47bd459ae4817b872f85d97fb6ff5be563251b15cfe2b201b8bc36ed28,true
34,dt870_atualizacao,33,0,4,true,true,true,true,false,ausente_comprovada,Chute,0e06d9470f1f37b5ca56c2e1e3924e5add3b971646a17264f19c963874a9b82b,true
35,dt870_atualizacao,34,0,4,true,false,true,false,,nao_avaliada,,1beecaad3342e5265b1fefda2bc40c532a444c4ab792a60eb887141606914fd1,true
36,dt870_atualizacao,35,0,4,true,false,true,true,false,ausente_comprovada,Disputa Aérea,eeb3a6d0f638ef4bc24994f9672d2793979def2ee67950ae3e0f8e64ce854b46,true
37,dt870_atualizacao,36,0,4,true,false,true,true,false,ausente_comprovada,Passe,574c950fa2dd28644f02a237cc40319b1b3b3c9c9d1e71f49a0d07d306518ceb,true
38,dt870_atualizacao,37,0,4,true,false,true,true,false,ausente_comprovada,Condução Técnica,7bfd085fed52f3828b4c6ac33f19d188d94a6e253b54ec54c0bb2618ca61aea6,true
39,dt870_atualizacao,38,0,4,true,true,true,true,false,ausente_comprovada,Técnica,e5e6bfcf68894a24de1dc203934f82409736224e06e61a2f0863b0fc62c6dd3a,true
40,dt870_atualizacao,39,0,4,true,false,true,true,false,ausente_comprovada,Defesa,48e58aba213f9e94c5ac19a02831164a32a2bdec23ad067de4e03b91a35f43cf,true
41,dt870_atualizacao,40,0,4,true,false,true,true,false,ausente_comprovada,Duelo (Divididas),115490f8036c98bfad555a572c67dd01ec69f9254f730e193f8e6cf82f031c03,true
42,dt870_atualizacao,41,0,4,true,false,true,true,false,ausente_comprovada,Agilidade,8215e54627dbd04209da9b6ff96ca0972a88994087b0f944fad49c71380980de,true
43,dt870_atualizacao,42,0,4,true,false,true,false,,nao_avaliada,,b097ecaf0ebf8f9be89fd9558c94b304f5434cfb3de56948d6598963674f4786,true
44,dt870_atualizacao,43,0,4,true,true,true,true,false,ausente_comprovada,Goalkeeping,6f68ea3773116a2f296c3b9c40a8b60eb0b41f9f1050c60cf8f1c069f759253d,true
45,dt870_atualizacao,44,0,5,true,false,true,true,false,ausente_comprovada,Chute,238389a7ec0fbd8cf38f4099f29d0a293c434904dfa720346e987bbaed98d552,true
46,dt870_atualizacao,45,0,5,true,false,true,false,,nao_avaliada,,0aa77b1c98c005c5058150e7a8cab68b2f611e134fa2e10c23215fadcb715448,true
47,dt870_atualizacao,46,0,5,true,false,true,false,,nao_avaliada,,14472891ccb9cd221dae44d4021423ff9edce0a7e298b881495a595cc224a025,true
48,dt870_atualizacao,47,0,5,true,false,true,false,,nao_avaliada,,5d9b5cf32374b579a891101d1eb8a6c6c34dcca1a1a216d35a26d43f1c01c2ac,true
