codigo_impeto,codigo_atributo,ordem,delta_fisico,bit_delta,largura_delta,fonte_preferida,registro_origem,endereco_origem,presente_dt200,presente_dt870_original,presente_dt870_atualizacao,condicao_estado,receita_confirmada,aplicavel_agora,falta_o_que
8,PB:390:6,1,1,261,5,dt870_atualizacao,7,dt870_atualizacao · PlayerBooster.bin · registro 7 · bit 261 · largura 5,true,true,true,ausente_comprovada,true,true,
8,PB:434:6,2,1,180,5,dt870_atualizacao,7,dt870_atualizacao · PlayerBooster.bin · registro 7 · bit 180 · largura 5,true,true,true,ausente_comprovada,true,true,
8,PB:480:6,3,1,202,5,dt870_atualizacao,7,dt870_atualizacao · PlayerBooster.bin · registro 7 · bit 202 · largura 5,true,true,true,ausente_comprovada,true,true,
8,PB:454:6,4,1,234,5,dt870_atualizacao,7,dt870_atualizacao · PlayerBooster.bin · registro 7 · bit 234 · largura 5,true,true,true,ausente_comprovada,true,true,
9,PB:504:6,1,1,149,5,dt870_atualizacao,8,dt870_atualizacao · PlayerBooster.bin · registro 8 · bit 149 · largura 5,true,true,true,ausente_comprovada,true,true,
9,PB:486:6,2,1,217,5,dt870_atualizacao,8,dt870_atualizacao · PlayerBooster.bin · registro 8 · bit 217 · largura 5,true,true,true,ausente_comprovada,true,true,
9,PB:434:6,3,1,180,5,dt870_atualizacao,8,dt870_atualizacao · PlayerBooster.bin · registro 8 · bit 180 · largura 5,true,true,true,ausente_comprovada,true,true,
9,PB:480:6,4,1,202,5,dt870_atualizacao,8,dt870_atualizacao · PlayerBooster.bin · registro 8 · bit 202 · largura 5,true,true,true,ausente_comprovada,true,true,
12,PB:396:6,1,2,276,5,dt870_atualizacao,11,dt870_atualizacao · PlayerBooster.bin · registro 11 · bit 276 · largura 5,true,true,true,ausente_comprovada,true,true,
12,PB:530:6,2,2,244,5,dt870_atualizacao,11,dt870_atualizacao · PlayerBooster.bin · registro 11 · bit 244 · largura 5,true,true,true,ausente_comprovada,true,true,
12,PB:384:6,3,2,249,5,dt870_atualizacao,11,dt870_atualizacao · PlayerBooster.bin · registro 11 · bit 249 · largura 5,true,true,true,ausente_comprovada,true,true,
12,PB:518:6,4,2,175,5,dt870_atualizacao,11,dt870_atualizacao · PlayerBooster.bin · registro 11 · bit 175 · largura 5,true,true,true,ausente_comprovada,true,true,
13,PB:530:6,1,2,244,5,dt870_atualizacao,12,dt870_atualizacao · PlayerBooster.bin · registro 12 · bit 244 · largura 5,true,false,true,ausente_comprovada,true,true,
13,PB:384:6,2,2,249,5,dt870_atualizacao,12,dt870_atualizacao · PlayerBooster.bin · registro 12 · bit 249 · largura 5,true,false,true,ausente_comprovada,true,true,
13,PB:368:6,3,2,154,5,dt870_atualizacao,12,dt870_atualizacao · PlayerBooster.bin · registro 12 · bit 154 · largura 5,true,false,true,ausente_comprovada,true,true,
13,PB:428:6,4,2,185,5,dt870_atualizacao,12,dt870_atualizacao · PlayerBooster.bin · registro 12 · bit 185 · largura 5,true,false,true,ausente_comprovada,true,true,
14,PB:530:6,1,2,244,5,dt870_atualizacao,13,dt870_atualizacao · PlayerBooster.bin · registro 13 · bit 244 · largura 5,true,true,true,ausente_comprovada,true,true,
14,PB:402:6,2,2,281,5,dt870_atualizacao,13,dt870_atualizacao · PlayerBooster.bin · registro 13 · bit 281 · largura 5,true,true,true,ausente_comprovada,true,true,
