codigo_jogo,source,registro,nivel_esperado,nivel_fisico,condicional_dicionario,tipo_efeito_fisico,nivel_ok,atributos_diretos_ok,trio_gk_coletivo_ok,classe_condicao_ok,status
8,dt870_atualizacao,7,1,1,false,0,true,true,true,true,confere
9,dt870_atualizacao,8,1,1,false,0,true,true,true,true,confere
12,dt870_atualizacao,11,2,2,false,0,true,true,true,true,confere
13,dt870_atualizacao,12,2,2,false,0,true,true,true,true,confere
14,dt870_atualizacao,13,2,2,false,0,true,true,true,true,confere
15,dt870_atualizacao,14,2,2,false,0,true,true,true,true,confere
16,dt870_atualizacao,15,2,2,false,0,true,true,true,true,confere
17,dt870_atualizacao,16,2,2,false,0,true,true,true,true,confere
18,dt870_atualizacao,17,2,2,false,0,true,true,true,true,confere
19,dt870_atualizacao,18,2,2,false,0,true,true,true,true,confere
20,dt870_atualizacao,19,2,2,false,0,true,true,true,true,confere
21,dt870_atualizacao,20,2,2,false,0,true,true,true,true,confere
22,dt870_atualizacao,21,2,2,false,0,true,true,true,true,confere
23,dt870_atualizacao,22,3,3,false,0,true,true,true,true,confere
24,dt870_atualizacao,23,3,3,false,0,true,true,true,true,confere
25,dt870_atualizacao,24,3,3,false,0,true,true,true,true,confere
26,dt870_atualizacao,25,3,3,false,0,true,true,true,true,confere
27,dt870_atualizacao,26,3,3,false,0,true,true,true,true,confere
28,dt870_atualizacao,27,3,3,false,0,true,true,true,true,confere
29,dt870_atualizacao,28,3,3,false,0,true,true,true,true,confere
30,dt870_atualizacao,29,3,3,false,0,true,true,true,true,confere
31,dt870_atualizacao,30,3,3,false,0,true,true,true,true,confere
32,dt870_atualizacao,31,3,3,false,0,true,true,true,true,confere
33,dt870_atualizacao,32,3,3,false,0,true,true,true,true,confere
34,dt870_atualizacao,33,4,4,false,0,true,true,true,true,confere
36,dt870_atualizacao,35,4,4,false,0,true,true,true,true,confere
37,dt870_atualizacao,36,4,4,false,0,true,true,true,true,confere
38,dt870_atualizacao,37,4,4,false,0,true,true,true,true,confere
39,dt870_atualizacao,38,4,4,false,0,true,true,true,true,confere
40,dt870_atualizacao,39,4,4,false,0,true,true,true,true,confere
41,dt870_atualizacao,40,4,4,false,0,true,true,true,true,confere
42,dt870_atualizacao,41,4,4,false,0,true,true,true,true,confere
44,dt870_atualizacao,43,4,4,false,0,true,true,true,true,confere
45,dt870_atualizacao,44,5,5,false,0,true,true,true,true,confere
49,dt870_atualizacao,48,5,5,false,0,true,true,true,true,confere
50,dt870_atualizacao,49,5,5,false,0,true,true,true,true,confere
56,dt870_atualizacao,55,4,4,false,3,true,true,true,true,confere
57,dt870_atualizacao,56,4,4,false,3,true,true,true,true,confere
