card_id,tipo,overall,roda_motor,nome,posicao,slot_ofensivo_id,slot_ofensivo_confirmado,slot_defensivo_id,slot_defensivo_confirmado,pe,altura,peso,idade,nacionalidade,pe_ruim_uso,pe_ruim_precisao,resistencia_lesao,forma,impeto_s1,impeto_s2_cond,vaga_s1,vaga_s2,box,atributos,habilidades,aptidoes,estilos_ia,corpo
60068,base,78,false,Joaquín Correa,SS,24,true,0,true,Direito,188,77,32,Argentina,1,1,Média,0,,,false,false,,"[72,78,75,72,72,67,68,64,62,70,49,53,60,54,40,40,40,40,40,76,74,74,60,74,68,75]","[""Gamesmanship"",""Marseille Turn"",""One-touch Pass"",""Outside Curler"",""Super-sub"",""Scissors Feint"",""Double Touch"",""Scotch Move"",""Cut Behind & Turn"",""Chop Turn""]","{""RMF"":1,""AMF"":2,""CB"":0,""CF"":1,""LMF"":2,""LWF"":2,""RB"":0,""DMF"":0,""RWF"":2,""SS"":2,""LB"":0,""CMF"":0}","[""Trickster"",""Mazing Run"",""Speeding Bullet""]","[188,6,7,5,4,7,6,7,4,7,5,4]"
61143,base,74,false,Nahuel Leiva,LWF,16,true,0,true,Direito,176,71,30,Spain,1,2,Baixa,0,,,false,false,,"[71,73,75,73,65,64,67,56,63,68,47,50,55,53,40,40,40,40,40,74,75,58,59,56,76,65]","[""Gamesmanship"",""Scissors Feint"",""Scotch Move""]","{""RMF"":2,""AMF"":1,""CB"":0,""CF"":0,""LMF"":2,""LWF"":2,""RB"":0,""DMF"":0,""RWF"":2,""SS"":0,""LB"":0,""CMF"":0}","[""Trickster"",""Mazing Run"",""Incisive Run""]","[176,7,6,6,6,7,7,11,7,5,8,9]"
100514,base,72,false,Carlos Akapo,RB,48,true,0,true,Direito,179,76,33,Equatorial Guinea,1,1,Baixa,1,,,false,false,,"[57,65,63,63,60,68,52,56,55,63,62,66,74,68,40,40,40,40,40,83,76,70,80,68,61,75]","[""Aerial Superiority"",""Interception"",""Man Marking""]","{""RMF"":1,""AMF"":0,""CB"":0,""CF"":0,""LMF"":0,""LWF"":0,""RB"":2,""DMF"":0,""RWF"":0,""SS"":0,""LB"":1,""CMF"":0}","[""Speeding Bullet"",""Early Cross""]","[179,7,7,7,6,7,7,7,6,5,7,9]"
104673,base,73,false,Mohamed Fares,LMF,76,true,0,true,Esquerdo,183,72,30,Algeria,0,0,Baixa,0,,,false,false,,"[66,70,72,64,65,70,62,68,60,63,58,62,70,64,40,40,40,40,40,78,74,71,60,67,68,73]","[""Dipping Shot"",""Long Range Shooting"",""Scissors Feint"",""Long Throw"",""Knuckle Shot""]","{""RMF"":0,""AMF"":0,""CB"":0,""CF"":0,""LMF"":2,""LWF"":2,""RB"":0,""DMF"":0,""RWF"":0,""SS"":0,""LB"":2,""CMF"":0}","[""Speeding Bullet"",""Early Cross"",""Long Ranger""]","[183,7,5,5,6,7,7,11,8,5,8,9]"
108746,base,79,false,Matías Vargas,LWF,72,true,0,true,Direito,168,66,29,Argentina,2,2,Média,2,,,false,false,,"[68,72,77,78,72,72,67,51,72,75,50,50,52,64,40,40,40,40,40,74,79,74,57,61,82,76]","[""First-time Shot"",""Gamesmanship"",""Outside Curler"",""Pinpoint Crossing"",""Through Passing"",""Double Touch"",""Sole Control"",""Long-Range Curler"",""Cut Behind & Turn"",""Knuckle Shot""]","{""RMF"":1,""AMF"":2,""CB"":0,""CF"":1,""LMF"":1,""LWF"":2,""RB"":0,""DMF"":1,""RWF"":1,""SS"":1,""LB"":0,""CMF"":2}","[""Trickster"",""Mazing Run"",""Speeding Bullet"",""Incisive Run""]","[168,7,7,7,6,7,7,7,6,5,7,9]"
115023,base,78,false,Gastón Togni,LWF,16,true,0,true,Esquerdo,180,76,29,Argentina,1,1,Baixa,1,,,false,false,,"[72,73,74,69,71,73,70,63,70,77,53,51,58,54,40,40,40,40,40,74,71,76,63,68,72,75]","[""Marseille Turn"",""Pinpoint Crossing"",""Through Passing"",""Acrobatic Finishing"",""Sole Control""]","{""RMF"":0,""AMF"":1,""CB"":0,""CF"":0,""LMF"":2,""LWF"":2,""RB"":0,""DMF"":0,""RWF"":1,""SS"":1,""LB"":1,""CMF"":0}","[""Early Cross""]","[180,7,7,7,6,8,7,7,6,5,7,9]"
119929,base,76,false,Pablo Sabbag,CF,88,true,0,true,Esquerdo,190,88,29,Syria,1,1,Média,1,,,false,false,,"[76,70,64,68,66,60,72,75,65,67,45,44,51,49,40,40,40,40,40,67,61,74,72,77,63,69]","[""Chip Shot Control"",""First-time Shot"",""No Look Pass"",""One-touch Pass"",""Super-sub"",""Penalty Specialist"",""Acrobatic Finishing""]","{""RMF"":0,""AMF"":0,""CB"":0,""CF"":2,""LMF"":0,""LWF"":0,""RB"":0,""DMF"":0,""RWF"":0,""SS"":1,""LB"":0,""CMF"":0}",[],"[190,7,7,7,6,8,7,7,6,5,7,9]"
120429,base,75,false,Peter Vindahl,GK,0,true,16,true,Direito,198,89,28,Denmark,1,1,Média,1,,,false,false,,"[40,53,49,47,57,60,40,45,50,44,49,48,52,60,71,67,73,66,70,56,54,70,69,75,51,56]","[""GK Low Punt""]","{""RMF"":0,""AMF"":0,""CB"":0,""CF"":0,""LMF"":0,""LWF"":0,""RB"":0,""DMF"":0,""RWF"":0,""SS"":0,""LB"":0,""CMF"":0}",[],"[198,7,6,6,6,6,7,7,7,5,7,9]"
123916,base,72,false,James Penrice,LB,44,true,0,true,Esquerdo,177,73,28,Scotland,1,1,Média,1,,,false,false,,"[59,67,65,64,67,71,58,52,64,67,63,67,70,67,40,40,40,40,40,76,72,65,60,59,75,77]","[""Pinpoint Crossing"",""Long Throw""]","{""RMF"":0,""AMF"":0,""CB"":0,""CF"":0,""LMF"":2,""LWF"":0,""RB"":0,""DMF"":0,""RWF"":0,""SS"":0,""LB"":2,""CMF"":0}","[""Speeding Bullet"",""Early Cross""]","[177,7,7,7,6,8,7,7,6,5,7,9]"
126115,base,72,false,Jacob Christensen,DMF,32,true,0,true,Direito,180,70,25,Denmark,1,1,Média,1,,,false,false,,"[59,69,66,65,71,71,52,59,59,67,70,71,72,73,40,40,40,40,40,68,67,69,67,68,74,73]","[""Captaincy"",""Dipping Shot"",""One-touch Pass"",""Through Passing"",""Weighted Pass"",""Penalty Specialist"",""Blocker"",""Sole Control""]","{""RMF"":0,""AMF"":0,""CB"":1,""CF"":0,""LMF"":0,""LWF"":0,""RB"":0,""DMF"":2,""RWF"":0,""SS"":0,""LB"":0,""CMF"":2}","[""Long Ball Expert""]","[180,7,7,7,6,7,7,7,6,5,7,9]"
