codigo,nome_pt_br,sigla,registro,bit_codigo,largura_codigo,arquivo,cpk_origem,fonte_autoritativa,tamanho_registro,offset_nome_pt_br,largura_nome_pt_br,codificacao_nome_pt_br,hash_country_bin,presente_dt200,presente_dt870_steam,presente_dt870_atualizacao,contrato_extracao,pode_rodar,falta_o_que
1,Afeganistão,AFG,0,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
2,Bahrein,BHR,1,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
3,Bangladesh,BAN,2,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
4,Butão,BHU,3,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
5,Brunei,BRU,4,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
6,Camboja,CAM,5,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
7,China,CHN,6,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
8,"Hong Kong, China",HKG,7,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
9,Índia,IND,8,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
10,Indonésia,IDN,9,10,9,Country.bin,dt870_console_win.cpk,dt870_updated,1488,788,70,utf-8,6dcb876a1922281cc5bf513f8ee117846fbeed42e48936f40af2007232c1b0a7,True,True,True,clubef-coach-display-fields-extraction-v2,True,
