card_id,box
17592186178992,"Manchester United 98-99"
17592186178993,"Manchester United 98-99"
17592186178994,"Manchester United 98-99"
17592186178995,"Manchester United 98-99"
17592186178990,"Manchester United 08-09"
17592186179032,"Manchester United 98-99"
17592186179033,"Manchester United 98-99"
17592186179060,"Manchester United 83-84"
17592454614517,"Manchester United 64-65（Carryover）"
17592186179090,"Arsenal 03-04"
17592186179004,"Arsenal 97-98"
17592186179044,"Arsenal 03-04"
17592186179066,"Arsenal 03-04"
17592186179085,"Arsenal 03-04"
17592186178996,"Liverpool R 04-05"
17592186045227,"Manchester B 11-12"
17592186179037,"Manchester B 09-10"
17592186179038,"Tottenham WB 10-11"
17592186178991,"Tottenham WB 06-07"
17592186179059,"Tottenham WB 90-91"
17592186044664,"Fulham W 02-03"
17592186178999,"FC Barcelona 96-97"
17592186048489,"FC Barcelona 08-09"
17592186179071,"FC Barcelona 04-05"
17592186179008,"FC Barcelona 01-02"
17592186179022,"FC Barcelona 97-98"
17592186179024,"FC Barcelona 04-05"
17592186179051,"FC Barcelona 73-74"
17592186179069,"Madrid Chamartin B 11-12"
17592186179040,"Juventus 11-12"
17592186179010,"Milano RN 93-94"
17592186179050,"Milano RN 87-88"
17592186179031,"Roma 00-01"
17592186179011,"Roma 00-01"
17592186179052,"FC Bayern München 73-74"
17592186179053,"FC Bayern München 80-81"
17592186179003,"FC Bayern München 00-01"
17592186179042,"FC Bayern München 02-03"
17592186044468,"Feyenoord 01-02"
17592186044579,"Celtic 06-07"
17592186179074,"Arsenal 08-09"
17592186179036,"England 2005"
17592186179094,"England 2001"
17592186178997,"Portugal 2000"
17592186045268,"Spain 2008"
17592186045282,"Spain 2009"
17592186048624,"Spain 2006"
17592186179001,"Spain 2006"
17592186179002,"Spain 2002"
17592186179005,"France 2001"
17592186179034,"Netherlands 2000"
17592186179048,"Netherlands 1989"
17592186179049,"Netherlands 1989"
17592186179012,"Italy 2003"
17592186179086,"Italy 1996"
17592186047607,"Czech Republic 2012"
17592186179013,"Czech Republic 2003"
17592186179014,"Czech Republic 2014"
17592454614538,"Czech Republic 2002（Carryover）"
17592186179015,"Germany 2001"
17592186179045,"Germany 1990"
17592186179020,"Brazil 2002"
17592186179021,"Brazil 2002"
