card_id,temporada,tipo,overall,roda_motor,nome,posicao,estilo_of,estilo_of_id,estilo_of_novo,estilo_of_pos,estilo_def,estilo_def_id,estilo_def_novo,pe,altura,peso,idade,nacionalidade,impeto_s1,impeto_s2_cond,vaga_s1,vaga_s2,atributos
84,2027,base,69,false,Hideomi Yamamoto,CB,O Destruidor,36,false,MLG/VOL/LD/LE/ZC,O Destruidor,36,false,Direito,175,69,45,Japan,,,false,false,"[52,62,53,58,68,65,54,63,69,67,74,72,67,76,40,40,40,40,40,63,59,67,65,65,63,64]"
2489,2027,base,75,false,Eiji Kawashima,GK,Goleiro defensivo,68,false,GO,Lateral defensivo,48,false,Direito,185,82,42,Japan,,,false,false,"[40,50,43,42,51,55,40,40,50,46,48,42,44,60,73,68,65,70,71,51,46,72,68,77,49,52]"
4522,2027,base,85,false,Cristiano Ronaldo,CF,Artilheiro,4,false,CA,Básico,0,false,Direito,187,84,40,Portugal,,,false,false,"[82,76,75,70,68,62,79,79,73,75,42,43,49,44,40,40,40,40,40,77,72,84,81,70,63,71]"
4882,2027,base,78,false,James Milner,CMF,Meia versátil,28,false,MLD/MLE/MLG/VOL,Meia versátil,28,false,Direito,175,70,39,England,,,false,false,"[65,75,72,75,76,78,60,52,62,73,71,70,78,71,40,40,40,40,40,67,64,78,60,65,68,75]"
5226,2027,base,69,false,Yuki Nakashima,CF,Puxa marcação,8,false,CA/SA/MAT,Básico,0,false,Direito,175,80,41,Japan,,,false,false,"[72,66,60,65,58,54,69,67,57,55,51,49,54,52,40,40,40,40,40,63,66,73,66,62,67,61]"
5308,2027,base,74,false,Takanori Sugeno,GK,Goleiro adiantado,64,false,GO,Atacante pivô,52,false,Direito,179,75,41,Japan,,,false,false,"[40,50,41,46,53,56,40,42,46,52,46,49,55,60,74,69,66,72,67,57,51,73,69,70,53,57]"
5518,2027,base,75,false,Raúl Albiol,CB,O Destruidor,36,false,MLG/VOL/LD/LE/ZC,O Destruidor,36,false,Direito,190,82,40,Spain,,,false,false,"[50,67,56,55,70,68,48,75,55,52,78,79,77,80,40,40,40,40,40,58,55,70,72,78,62,67]"
7474,2027,base,75,false,Nenê,AMF,Clássico nº 10,20,false,SA/MAT,Básico,0,false,Esquerdo,181,70,44,Brazil,,,false,false,"[68,80,74,78,77,79,72,59,74,77,42,43,48,42,40,40,40,40,40,54,57,73,53,64,72,60]"
7511,2027,base,87,false,Lionel Messi,RWF,Armador criativo,56,false,SA/PTD/PTE/MAT/MLD/MLE,Básico,0,false,Esquerdo,170,67,38,Argentina,,,false,false,"[80,87,88,88,80,76,80,52,87,87,45,50,54,50,40,40,40,40,40,67,80,73,51,58,88,70]"
7814,2027,base,78,false,Dante,CB,Provocador,60,false,,Básico,0,false,Esquerdo,189,91,42,Brazil,,,false,false,"[53,70,59,61,73,70,49,77,55,62,79,81,76,74,40,40,40,40,40,57,54,65,70,82,54,66]"
8574,2027,base,79,false,Hugo Lloris,GK,Goleiro adiantado,64,false,GO,Novo (2027),204,true,Esquerdo,188,82,39,France,,,false,false,"[40,55,45,43,57,60,40,40,55,44,42,45,50,60,76,70,78,77,72,60,64,75,73,70,63,57]"
8823,2027,base,75,false,Paolo Guerrero,CF,Pivô,88,false,CA,Básico,0,false,Direito,184,86,41,Peru,,,false,false,"[75,74,67,71,68,61,70,75,66,69,45,47,61,50,40,40,40,40,40,62,61,75,72,78,65,64]"
8959,2027,base,74,false,Daniele Padelli,GK,Goleiro defensivo,68,false,GO,Atacante pivô,52,false,Esquerdo,191,82,40,Italy,,,false,false,"[43,51,43,45,51,55,42,47,50,46,47,45,43,61,71,69,67,68,72,53,52,66,69,68,50,55]"
9042,2027,base,81,false,Kasper Schmeichel,GK,Goleiro adiantado,64,false,GO,Perito em cruzamento,76,false,Direito,189,89,39,Denmark,,,false,false,"[40,55,42,45,55,58,40,40,55,42,45,43,53,60,77,75,78,74,77,50,54,72,65,73,52,55]"
9138,2027,base,80,false,João Moutinho,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,170,61,39,Portugal,,,false,false,"[67,80,72,82,81,79,68,60,77,78,66,69,68,70,40,40,40,40,40,60,66,73,65,62,78,75]"
9167,2027,base,78,false,Remko Pasveer,GK,Goleiro defensivo,68,false,GO,Novo (2027),192,true,Direito,187,88,42,Netherlands,,,false,false,"[40,57,45,48,59,63,40,54,54,52,60,47,54,60,75,72,73,71,72,56,53,72,66,69,52,61]"
9226,2027,base,75,false,Iván Cuéllar,GK,Goleiro adiantado,64,false,GO,Goleiro adiantado,64,false,Esquerdo,187,76,41,Spain,,,false,false,"[40,50,40,41,51,54,40,41,50,48,43,41,42,60,70,72,73,70,70,54,52,68,67,67,49,52]"
9375,2027,base,77,false,Santi Cazorla,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,168,65,41,Spain,,,false,false,"[70,80,76,82,80,80,70,55,77,79,58,60,64,57,40,40,40,40,40,60,66,73,55,58,85,65]"
9534,2027,base,75,false,Craig Gordon,GK,Goleiro defensivo,68,false,GO,Goleiro defensivo,68,false,Esquerdo,193,83,43,Scotland,,,false,false,"[41,50,42,44,50,54,40,40,50,45,42,42,57,60,70,69,74,70,72,50,52,68,65,73,56,54]"
12663,2027,base,74,false,Jung Sung-Ryong,GK,Goleiro defensivo,68,false,GO,Atacante pivô,52,false,Direito,191,91,40,Korea Republic,,,false,false,"[40,50,41,42,52,57,40,42,51,46,50,47,44,60,72,65,67,70,73,48,50,71,65,78,49,52]"
15033,2027,base,75,false,Hiroki Iikura,GK,Goleiro adiantado,64,false,GO,Novo (2027),184,true,Direito,181,75,39,Japan,,,false,false,"[41,52,41,46,55,59,40,41,48,53,48,45,56,60,74,71,68,69,71,49,53,67,70,68,51,54]"
15039,2027,base,71,false,Ken Tokura,CF,Pivô,88,false,CA,Básico,0,false,Esquerdo,187,80,39,Japan,,,false,false,"[74,67,60,63,60,57,70,75,55,49,47,46,44,49,40,40,40,40,40,64,60,72,71,76,61,62]"
15075,2027,base,77,false,Akihiro Ienaga,RWF,Armador criativo,56,false,SA/PTD/PTE/MAT/MLD/MLE,Básico,0,false,Esquerdo,175,72,39,Japan,,,false,false,"[69,77,72,75,74,78,70,63,72,74,47,46,57,55,40,40,40,40,40,66,70,75,63,60,77,71]"
15097,2027,base,76,false,Shusaku Nishikawa,GK,Goleiro adiantado,64,false,GO,Novo (2027),192,true,Esquerdo,183,81,39,Japan,,,false,false,"[40,50,41,43,52,58,40,41,51,53,46,44,48,60,75,69,72,67,71,54,50,70,66,78,52,62]"
15113,2027,base,70,false,Yoshinobu Harada,GK,Básico,0,false,,Novo (2027),164,true,Direito,183,75,39,Japan,,,false,false,"[40,46,46,40,52,53,40,51,40,69,60,40,41,60,79,60,58,61,61,59,60,66,70,66,52,54]"
15159,2027,base,69,false,Hisashi Jogo,CF,Atacante pivô,52,false,CA/SA,Básico,0,false,Direito,183,77,39,Japan,,,false,false,"[69,71,62,67,66,64,66,67,62,58,48,54,57,56,40,40,40,40,40,64,60,69,71,68,62,66]"
15217,2026,base,75,false,Gonda Shuichi,GK,Básico,0,false,,Goleiro adiantado,64,false,Direito,187,84,37,Japan,,,false,false,"[43,51,42,46,53,59,45,42,51,46,53,49,52,65,73,68,70,66,71,55,50,71,68,73,51,57]"
15261,2027,base,73,false,Masato Morishige,CB,Provocador,60,false,,Básico,0,false,Direito,183,80,38,Japan,,,false,false,"[51,61,48,55,63,66,54,72,63,57,75,70,74,73,40,40,40,40,40,64,60,71,69,75,57,68]"
15296,2027,base,72,false,Yohei Takeda,GK,Goleiro adiantado,64,false,GO,Novo (2027),188,true,Direito,189,84,38,Japan,,,false,false,"[40,46,41,42,51,54,40,42,50,46,48,45,43,60,71,64,70,67,66,51,49,73,70,76,50,51]"
15320,2027,base,74,false,Shinji Kagawa,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,175,68,36,Japan,,,false,false,"[66,76,69,74,77,75,68,53,74,76,58,61,63,65,40,40,40,40,40,64,69,75,62,57,77,71]"
15327,2027,base,70,false,Yuji Rokutan,GK,Goleiro adiantado,64,false,GO,Lateral ofensivo,44,false,Direito,188,80,38,Japan,,,false,false,"[40,47,41,43,50,56,41,40,47,49,51,43,47,60,69,64,62,66,67,52,46,73,66,78,46,55]"
15431,2027,base,69,false,Toru Hasegawa,GK,Goleiro defensivo,68,false,GO,Atacante pivô,52,false,Direito,187,75,37,Japan,,,false,false,"[40,46,40,42,45,49,41,40,46,46,51,44,48,65,68,65,66,62,69,51,52,65,72,68,47,54]"
15433,2027,base,78,false,Maya Yoshida,CB,Provocador,60,false,,Básico,0,false,Direito,189,79,37,Japan,,,false,false,"[55,67,60,66,65,68,54,72,56,58,76,77,70,75,40,40,40,40,40,68,62,65,72,76,58,75]"
