card_id,tipo,overall,roda_motor,nome,posicao,slot_ofensivo_id,slot_ofensivo_confirmado,slot_defensivo_id,slot_defensivo_confirmado,pe,altura,peso,idade,nacionalidade,pe_ruim_uso,pe_ruim_precisao,resistencia_lesao,forma,impeto_s1,impeto_s2_cond,vaga_s1,vaga_s2,box,atributos,habilidades,aptidoes,estilos_ia,corpo
123236838841410,colecionavel,100,true,Robert Lewandowski,CF,4,true,0,true,Direito,185,81,38,Poland,2,2,Alta,2,,,false,false,Strike Arena,"[94,87,73,72,70,68,99,87,75,64,42,45,77,59,40,40,40,40,40,72,76,94,86,90,85,67]","[""Captaincy"",""Chip Shot Control"",""First-time Shot"",""Heading"",""Heel Trick"",""Long Range Shooting"",""Rising Shot"",""Penalty Specialist"",""Acrobatic Finishing"",""Cut Behind & Turn""]","{""RMF"":1,""AMF"":2,""CB"":0,""CF"":2,""LMF"":1,""LWF"":1,""RB"":0,""DMF"":0,""RWF"":1,""SS"":2,""LB"":0,""CMF"":0}","[""Incisive Run""]","[185,8,5,5,5,7,7,7,8,7,9,10]"
123236838963522,colecionavel,99,true,Lamine Yamal,RWF,72,true,0,true,Esquerdo,180,72,19,Spain,2,2,Média,2,,,false,false,Strike Arena,"[70,96,99,90,88,89,93,54,64,91,41,46,48,50,40,40,40,40,40,86,88,82,63,66,74,73]","[""Flip Flap"",""Marseille Turn"",""Outside Curler"",""Pinpoint Crossing"",""Through Passing"",""Scissors Feint"",""Double Touch"",""Sole Control"",""Long-Range Curler"",""Cut Behind & Turn""]","{""RMF"":2,""AMF"":0,""CB"":0,""CF"":1,""LMF"":0,""LWF"":1,""RB"":0,""DMF"":0,""RWF"":2,""SS"":0,""LB"":0,""CMF"":0}","[""Trickster"",""Mazing Run"",""Speeding Bullet"",""Incisive Run"",""Early Cross""]","[180,5,4,5,6,4,8,13,7,5,5,9]"
52776826679422,colecionavel,98,true,Kylian Mbappé,CF,4,true,0,true,Direito,178,73,28,France,2,2,Média,2,,,false,false,POTW 25 Aug '22,"[86,89,90,86,77,74,87,73,81,76,53,55,61,59,40,40,40,40,40,93,90,79,73,76,85,81]","[""Chip Shot Control"",""First-time Shot"",""Gamesmanship"",""Rabona"",""Rising Shot"",""Scissors Feint"",""Penalty Specialist"",""Double Touch"",""Acrobatic Finishing"",""Chop Turn""]","{""RMF"":2,""AMF"":1,""CB"":0,""CF"":2,""LMF"":2,""LWF"":2,""RB"":0,""DMF"":0,""RWF"":2,""SS"":1,""LB"":0,""CMF"":1}","[""Trickster"",""Mazing Run"",""Speeding Bullet"",""Incisive Run""]","[178,5,3,9,6,5,7,14,12,4,5,11]"
52783537565822,colecionavel,98,true,Kylian Mbappé,CF,4,true,0,true,Direito,178,73,28,France,2,2,Média,2,,,false,false,POTW 23 Feb '23,"[87,86,90,85,78,74,86,72,76,77,54,56,62,60,40,40,40,40,40,93,93,80,73,75,84,82]","[""Chip Shot Control"",""First-time Shot"",""Gamesmanship"",""Rabona"",""Rising Shot"",""Through Passing"",""Scissors Feint"",""Double Touch"",""Acrobatic Finishing"",""Chop Turn""]","{""RMF"":2,""AMF"":1,""CB"":0,""CF"":2,""LMF"":2,""LWF"":2,""RB"":0,""DMF"":0,""RWF"":2,""SS"":1,""LB"":0,""CMF"":1}","[""Trickster"",""Mazing Run"",""Speeding Bullet"",""Incisive Run""]","[178,5,3,9,6,5,7,14,12,4,5,11]"
52849035817086,colecionavel,98,true,Kylian Mbappé,AMF,24,true,0,true,Direito,178,73,28,France,2,3,Média,2,,,false,false,POTW 16 Nov '23,"[90,88,87,85,85,75,89,67,75,76,53,55,61,59,40,40,40,40,40,90,92,77,74,74,84,80]","[""Chip Shot Control"",""Fighting Spirit"",""First-time Shot"",""Rabona"",""Through Passing"",""Weighted Pass"",""Scissors Feint"",""Double Touch"",""Acrobatic Finishing"",""Chop Turn""]","{""RMF"":2,""AMF"":2,""CB"":0,""CF"":2,""LMF"":2,""LWF"":2,""RB"":0,""DMF"":0,""RWF"":2,""SS"":2,""LB"":0,""CMF"":1}","[""Trickster"",""Mazing Run"",""Speeding Bullet"",""Incisive Run""]","[178,5,3,9,6,5,7,14,12,4,5,11]"
52871584329051,colecionavel,98,true,Kevin De Bruyne,AMF,24,true,0,true,Direito,181,68,35,Belgium,2,3,Baixa,2,112,,false,false,POTW National Teams 27 Jun '24,"[85,90,83,86,90,87,83,56,80,86,58,58,70,62,40,40,40,40,40,80,82,88,59,71,75,83]","[""Captaincy"",""First-time Shot"",""Low Lofted Pass"",""Long Range Shooting"",""One-touch Pass"",""Outside Curler"",""Pinpoint Crossing"",""Through Passing"",""Sole Control"",""Cut Behind & Turn""]","{""RMF"":1,""AMF"":2,""CB"":0,""CF"":0,""LMF"":0,""LWF"":0,""RB"":0,""DMF"":0,""RWF"":1,""SS"":1,""LB"":0,""CMF"":2}","[""Mazing Run"",""Early Cross"",""Long Ranger"",""Long Ball Expert""]","[181,7,6,8,8,7,9,8,7,4,8,7]"
52871852853061,colecionavel,98,true,Jude Bellingham,AMF,56,true,0,true,Direito,186,75,23,England,2,3,Alta,2,113,,false,false,POTW National Teams 4 Jul '24,"[87,88,84,85,85,84,87,73,63,68,70,75,79,78,40,40,40,40,40,82,75,78,76,78,80,94]","[""Fighting Spirit"",""First-time Shot"",""Flip Flap"",""Interception"",""One-touch Pass"",""Outside Curler"",""Rising Shot"",""Double Touch"",""Acrobatic Finishing"",""Sole Control""]","{""RMF"":1,""AMF"":2,""CB"":0,""CF"":1,""LMF"":1,""LWF"":0,""RB"":0,""DMF"":1,""RWF"":0,""SS"":1,""LB"":0,""CMF"":2}","[""Trickster"",""Mazing Run"",""Incisive Run"",""Long Ranger""]","[186,8,8,5,7,5,7,14,11,7,11,7]"
55069802342513,colecionavel,98,true,Lautaro Martínez,CF,4,true,0,true,Direito,174,79,29,Argentina,3,3,Média,2,,,false,false,POTS Italian League 25-26,"[87,85,85,86,76,71,86,74,68,71,58,58,68,67,40,40,40,40,40,88,90,89,74,83,80,84]","[""Captaincy"",""Fighting Spirit"",""First-time Shot"",""Heading"",""Long Range Shooting"",""Outside Curler"",""Through Passing"",""Double Touch"",""Long-Range Curler"",""Cut Behind & Turn""]","{""RMF"":0,""AMF"":0,""CB"":0,""CF"":2,""LMF"":0,""LWF"":0,""RB"":0,""DMF"":0,""RWF"":0,""SS"":2,""LB"":0,""CMF"":0}","[""Trickster"",""Mazing Run"",""Long Ranger""]","[174,10,10,9,10,8,7,7,4,8,7,9]"
123236838912052,colecionavel,98,true,Raphinha,LWF,16,true,0,true,Esquerdo,176,68,30,Brazil,1,2,Média,2,,,false,false,Strike Arena,"[82,83,92,75,83,80,84,75,71,88,49,46,74,69,40,40,40,40,40,92,97,92,72,83,71,80]","[""Captaincy"",""Dipping Shot"",""Heel Trick"",""Outside Curler"",""Pinpoint Crossing"",""Scissors Feint"",""Penalty Specialist"",""Double Touch"",""Acrobatic Finishing"",""Cut Behind & Turn""]","{""RMF"":1,""AMF"":2,""CB"":0,""CF"":1,""LMF"":1,""LWF"":2,""RB"":0,""DMF"":0,""RWF"":2,""SS"":1,""LB"":0,""CMF"":0}","[""Trickster"",""Mazing Run"",""Speeding Bullet"",""Incisive Run"",""Early Cross""]","[176,7,7,5,5,2,8,9,5,4,10,4]"
52777631915074,colecionavel,97,true,Robert Lewandowski,CF,4,true,0,true,Direito,185,81,38,Poland,2,2,Alta,2,,,false,false,POTW 15 Sep '22,"[90,89,78,78,77,70,93,85,78,71,53,51,60,65,40,40,40,40,40,77,70,85,84,80,75,77]","[""Chip Shot Control"",""First-time Shot"",""Heading"",""Heel Trick"",""Long Range Shooting"",""Rising Shot"",""Super-sub"",""Penalty Specialist"",""Acrobatic Finishing"",""Cut Behind & Turn""]","{""RMF"":1,""AMF"":2,""CB"":0,""CF"":2,""LMF"":1,""LWF"":1,""RB"":0,""DMF"":0,""RWF"":1,""SS"":2,""LB"":0,""CMF"":0}","[""Incisive Run""]","[185,8,5,5,5,7,7,7,8,7,9,10]"
52778974109475,colecionavel,97,true,Mohamed Salah,CF,4,true,0,true,Esquerdo,175,71,34,Egypt,1,1,Média,2,,,false,false,POTW 20 Oct '22,"[93,91,85,85,76,76,88,61,68,81,45,48,61,57,40,40,40,40,40,90,88,76,61,72,93,84]","[""Chip Shot Control"",""Long Range Shooting"",""Outside Curler"",""Rising Shot"",""Track Back"",""Scissors Feint"",""Penalty Specialist"",""Double Touch"",""Long-Range Curler"",""Cut Behind & Turn""]","{""RMF"":1,""AMF"":1,""CB"":0,""CF"":2,""LMF"":0,""LWF"":0,""RB"":0,""DMF"":0,""RWF"":2,""SS"":1,""LB"":0,""CMF"":0}","[""Trickster"",""Mazing Run"",""Speeding Bullet"",""Incisive Run""]","[175,10,9,8,9,9,10,9,6,4,10,4]"
