PID,Name,Position,Height,Weight,Age,Foot,WeakFootUsage,WeakFootAccuracy,Form,InjuryResistance,Nationality,AttStyle,DefStyle,Aptitudes,进攻意识 Off.Aware,控球 Ball Control,盘带 Dribbling,紧密控球 Tight Poss,短传 Low Pass,高传 Lofted Pass,射门 Finishing,头球 Heading,定位球 Set Piece,弧线 Curl,防守意识 Def.Aware,抢断 Tackling,侵略性 Aggression,防守参与 Def.Engage,GK 扑救意识,GK 接球,GK 反应,GK 倒地扑救,GK 控制范围,速度 Speed,加速 Acceleration,踢球力量 Kick Power,弹跳 Jumping,身体对抗 Phys.,平衡 Balance,体力 Stamina,Skills,AIStyles
84,Yamamoto Hideomi,CB,175,69,46,Right,Occasionally,High,Unwavering,Medium,Japan,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=1,52,62,53,58,68,65,54,63,69,67,74,70,67,73,40,40,40,40,40,59,55,67,63,65,60,64,Fighting Spirit,Long Ball Expert
2489,Kawashima Eiji,GK,185,82,43,Right,Rarely,Medium,Standard,Medium,Japan,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,50,43,42,51,55,40,40,50,46,48,42,44,60,73,69,66,70,71,51,46,72,68,77,49,52,GK Low Punt|GK Penalty Saver,
4522,Cristiano Ronaldo,CF,187,84,41,Right,Occasionally,Very High,Standard,High,Portugal,Goal Poacher,Basic,RMF=2|AMF=1|CB=0|CF=2|LMF=2|LWF=2|RB=0|DMF=0|RWF=2|SS=2|LB=0|CMF=0,82,76,75,70,68,62,79,79,73,75,42,43,49,44,40,40,40,40,40,77,72,84,81,70,63,71,Acrobatic Finishing|Captaincy|Chop Turn|Fighting Spirit|First-time Shot|Heading|Knuckle Shot|Long Range Shooting|Penalty Specialist|Scissors Feint,Incisive Run|Long Ranger|Mazing Run|Speeding Bullet|Trickster
4882,James Milner,CMF,175,70,40,Right,Rarely,High,Standard,Low,England,Box-to-Box,Box-to-Box,RMF=1|AMF=1|CB=0|CF=0|LMF=1|LWF=0|RB=2|DMF=1|RWF=0|SS=0|LB=2|CMF=2,65,75,72,75,76,78,60,52,62,73,71,70,78,71,40,40,40,40,40,67,64,78,60,65,68,75,Acrobatic Clearance|Captaincy|Cut Behind & Turn|Fighting Spirit|Interception|Low Lofted Pass|Outside Curler|Penalty Specialist|Pinpoint Crossing|Track Back,Early Cross|Incisive Run|Long Ball Expert
5226,Nakashima Yuki,CF,175,80,42,Right,Occasionally,High,Standard,Medium,Japan,Deep-Lying Forward,Basic,RMF=0|AMF=2|CB=0|CF=2|LMF=0|LWF=1|RB=0|DMF=0|RWF=1|SS=2|LB=0|CMF=0,70,66,60,65,58,54,69,67,57,55,51,49,54,52,40,40,40,40,40,60,63,73,66,62,67,59,First-time Shot|Sole Control,
5308,Sugeno Takanori,GK,179,75,42,Right,Rarely,Medium,Unwavering,High,Japan,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,50,41,46,53,56,40,42,46,52,46,49,55,60,74,68,65,71,67,57,51,72,69,70,52,55,Fighting Spirit|GK Low Punt,
5518,Raúl Albiol,CB,190,82,41,Right,Rarely,Medium,Standard,Medium,Spain,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=1|DMF=1|RWF=0|SS=0|LB=0|CMF=0,50,66,56,55,69,67,48,75,55,52,77,78,75,78,40,40,40,40,40,57,54,70,67,75,62,60,Blocker|Captaincy|Interception|Man Marking|Sliding Tackle,Long Ball Expert
7474,Nenê,AMF,181,70,45,Left,Rarely,High,Standard,Low,Brazil,Classic No. 10,Basic,RMF=2|AMF=2|CB=0|CF=1|LMF=2|LWF=1|RB=0|DMF=0|RWF=1|SS=2|LB=0|CMF=1,68,80,74,78,77,79,72,59,74,77,42,43,48,42,40,40,40,40,40,54,57,73,53,64,72,60,Flip Flap|Gamesmanship|Low Lofted Pass|Marseille Turn|One-touch Pass|Outside Curler|Penalty Specialist|Pinpoint Crossing|Sombrero|Weighted Pass,Early Cross|Long Ball Expert|Long Ranger|Trickster
7511,Lionel Messi,SS,170,67,39,Left,Rarely,Medium,Unwavering,Medium,Argentina,Classic No. 10,Basic,RMF=2|AMF=2|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=2|SS=2|LB=0|CMF=0,81,85,86,85,81,77,79,61,84,86,42,45,47,43,40,40,40,40,40,67,76,72,51,56,86,68,Captaincy|Chip Shot Control|Dipping Shot|Double Touch|First-time Shot|Long Range Shooting|Long-Range Curler|One-touch Pass|Penalty Specialist|Through Passing,Early Cross|Incisive Run|Mazing Run|Speeding Bullet|Trickster
7814,Dante,CB,189,91,43,Left,Rarely,Medium,Unwavering,Low,Brazil,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=1|CMF=0,53,70,59,61,73,70,49,77,55,62,79,81,76,74,40,40,40,40,40,55,52,65,70,80,54,64,Aerial Superiority|Captaincy|Heading|Man Marking|Weighted Pass,Long Ball Expert
8574,Hugo Lloris,GK,188,82,40,Left,Almost Never,Low,Standard,Low,France,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,55,45,43,59,60,40,40,55,44,42,45,50,60,76,71,78,77,72,60,64,75,73,70,63,57,Captaincy|GK Low Punt|GK Penalty Saver,
8823,Paolo Guerrero,CF,184,86,42,Right,Rarely,High,Standard,Medium,Peru,Target Man,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=2|LB=0|CMF=0,75,74,67,71,68,61,70,75,66,69,45,47,61,50,40,40,40,40,40,62,61,75,72,78,65,64,Captaincy|First-time Shot|Heading|One-touch Pass,
8959,Daniele Padelli,GK,191,82,41,Left,Rarely,Medium,Inconsistent,High,Italy,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,43,51,43,45,51,55,42,47,50,46,47,45,43,61,71,69,67,68,72,53,52,66,69,68,50,55,Captaincy,
9042,Kasper Schmeichel,GK,189,89,40,Right,Rarely,Medium,Unwavering,Medium,Denmark,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,55,42,45,55,58,40,40,55,42,45,43,53,60,77,72,75,74,73,50,54,72,65,73,52,55,Captaincy|GK Long Throw|GK Low Punt|GK Penalty Saver,
9138,João Moutinho,CMF,170,61,40,Right,Rarely,High,Unwavering,High,Portugal,Orchestrator,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,65,80,72,81,80,79,67,60,76,77,66,69,68,70,40,40,40,40,40,60,65,73,65,62,77,73,Cut Behind & Turn|Heel Trick|Low Lofted Pass|One-touch Pass|Outside Curler|Pinpoint Crossing|Sombrero|Through Passing|Weighted Pass,Long Ball Expert
9226,Iván Cuéllar,GK,187,76,42,Left,Almost Never,Low,Standard,Low,Spain,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,50,40,41,51,54,40,41,50,48,43,41,42,60,70,72,73,70,70,54,52,68,67,67,49,52,GK Low Punt,
9375,Santi Cazorla,CMF,168,65,42,Right,Regularly,Very High,Unwavering,Low,Spain,Orchestrator,Basic,RMF=1|AMF=2|CB=0|CF=0|LMF=2|LWF=2|RB=0|DMF=2|RWF=1|SS=1|LB=0|CMF=2,70,80,76,82,80,80,70,55,77,79,58,60,64,57,40,40,40,40,40,60,66,73,55,58,85,65,Captaincy|Double Touch|Long Range Shooting|Long-Range Curler|Low Lofted Pass|One-touch Pass|Penalty Specialist|Pinpoint Crossing|Through Passing|Weighted Pass,Incisive Run|Long Ranger|Mazing Run|Trickster
9534,Craig Gordon,GK,193,83,44,Left,Rarely,Medium,Unwavering,Low,Scotland,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,41,50,42,44,50,54,40,40,50,45,42,42,57,60,69,68,73,70,71,50,52,68,65,73,56,54,Captaincy|GK Long Throw,
